,win,nomination
tt0070040,7,1
tt0070047,16,17
tt0070130,2,1
tt0070215,0,0
tt0070233,0,0
tt0070239,3,13
tt0070290,6,9
tt0070294,0,0
tt0070328,3,3
tt0070334,1,1
tt0070355,0,0
tt0070379,5,5
tt0070460,13,7
tt0070510,8,10
tt0070511,2,2
tt0070518,0,0
tt0070544,1,2
tt0070608,1,2
tt0070643,0,0
tt0070666,8,13
tt0070698,0,0
tt0070707,2,2
tt0070723,3,1
tt0070735,18,6
tt0070849,7,12
tt0070903,6,8
tt0070909,0,0
tt0070917,2,6
tt0070948,0,0
tt0071115,6,11
tt0071129,20,9
tt0071141,4,1
tt0071222,3,2
tt0071230,3,5
tt0071249,0,0
tt0071315,21,24
tt0071360,14,16
tt0071402,0,0
tt0071411,8,2
tt0071455,3,7
tt0071487,0,0
tt0071524,3,6
tt0071562,17,20
tt0071577,7,3
tt0071615,0,0
tt0071691,5,3
tt0071746,7,16
tt0071771,2,4
tt0071807,2,1
tt0071853,3,3
tt0071877,9,16
tt0071910,0,0
tt0071970,2,3
tt0071994,3,5
tt0072081,2,5
tt0072226,2,5
tt0072251,0,0
tt0072271,1,2
tt0072281,4,7
tt0072288,0,0
tt0072308,12,13
tt0072417,9,7
tt0072431,11,8
tt0072443,1,2
tt0072684,19,15
tt0072730,2,2
tt0072783,0,0
tt0072856,0,0
tt0072890,14,21
tt0072901,0,0
tt0072926,0,0
tt0073000,0,0
tt0073018,0,0
tt0073195,15,20
tt0073312,3,2
tt0073341,0,0
tt0073440,24,26
tt0073453,0,0
tt0073486,38,16
tt0073540,4,12
tt0073580,6,3
tt0073582,1,2
tt0073629,4,5
tt0073631,4,5
tt0073636,0,0
tt0073650,2,1
tt0073692,3,11
tt0073705,1,1
tt0073707,5,4
tt0073747,1,1
tt0073802,6,4
tt0073812,2,5
tt0074084,2,5
tt0074102,0,0
tt0074119,17,21
tt0074156,0,0
tt0074174,1,1
tt0074256,5,11
tt0074285,3,8
tt0074442,0,0
tt0074452,0,0
tt0074483,0,0
tt0074486,3,2
tt0074512,2,6
tt0074695,2,1
tt0074749,0,0
tt0074751,5,3
tt0074806,2,4
tt0074811,0,0
tt0074812,7,4
tt0074851,1,4
tt0074860,4,11
tt0074896,0,0
tt0074899,0,0
tt0074937,0,0
tt0074958,20,26
tt0075005,5,8
tt0075029,1,2
tt0075066,2,3
tt0075147,0,0
tt0075148,20,22
tt0075213,1,4
tt0075222,1,6
tt0075223,0,0
tt0075276,2,2
tt0075314,22,20
tt0075612,3,5
tt0075675,6,3
tt0075686,31,8
tt0075784,7,4
tt0075824,6,11
tt0075860,15,39
tt0075925,0,0
tt0075968,2,4
tt0076009,0,0
tt0076054,0,0
tt0076070,0,0
tt0076085,13,5
tt0076095,10,9
tt0076141,0,0
tt0076162,0,0
tt0076221,0,0
tt0076257,0,0
tt0076276,5,1
tt0076363,0,0
tt0076451,2,7
tt0076504,0,0
tt0076538,0,0
tt0076590,0,0
tt0076618,2,1
tt0076666,4,12
tt0076723,1,2
tt0076729,0,0
tt0076734,1,2
tt0076740,0,0
tt0076752,3,11
tt0076759,63,29
tt0076786,1,3
tt0076929,0,0
tt0077269,2,13
tt0077294,0,0
tt0077355,0,0
tt0077362,14,16
tt0077369,3,1
tt0077394,3,1
tt0077402,2,2
tt0077405,13,12
tt0077413,5,6
tt0077416,24,27
tt0077451,3,1
tt0077474,0,0
tt0077523,1,4
tt0077572,0,0
tt0077578,0,0
tt0077588,0,0
tt0077594,0,0
tt0077631,4,10
tt0077651,7,3
tt0077663,9,14
tt0077681,1,1
tt0077711,10,10
tt0077713,0,0
tt0077742,9,17
tt0077745,3,10
tt0077766,0,0
tt0077869,1,3
tt0077928,16,14
tt0077975,2,1
tt0078087,1,1
tt0078163,1,1
tt0078243,0,0
tt0078252,0,0
tt0078346,17,23
tt0078446,0,0
tt0078480,1,4
tt0078492,1,1
tt0078504,1,11
tt0078718,1,3
